#{"gym_version": "0.9.3", "t_start": 1512628821.148969, "env_id": "PongNoFrameskip-v4"}
r,l,t
-20.0,1039,26.232522
-21.0,789,43.273841
-20.0,859,61.388742
-20.0,1030,82.777319
-21.0,817,98.984093
-21.0,897,120.838079
-21.0,851,138.703195
-21.0,979,161.502497
-21.0,1060,184.082192
-21.0,879,201.107265
-20.0,830,223.976232
-21.0,787,242.261932
-21.0,819,261.523299
-21.0,823,281.048245
-21.0,1281,314.139442
-21.0,758,333.683851
-16.0,1488,372.712655
-21.0,881,391.520459
-21.0,846,416.80944
-20.0,963,436.573604
-20.0,870,460.748486
-21.0,884,479.767208
-21.0,845,499.106284
-20.0,895,523.960262
-21.0,760,543.255979
-21.0,820,562.531525
-21.0,834,582.812188
-20.0,986,608.092872
-21.0,786,626.23839
-21.0,881,650.901861
-21.0,824,670.139397
-21.0,820,688.973058
-21.0,880,708.328462
-21.0,822,732.107212
-21.0,822,751.52969
-20.0,831,770.387244
-21.0,824,788.955289
-21.0,776,807.977193
-21.0,778,827.38272
-21.0,819,851.714954
-21.0,819,871.562874
-21.0,819,890.831756
-21.0,885,910.9901
-21.0,822,935.746236
-21.0,819,955.218722
-21.0,822,974.641705
-21.0,817,994.64234
-20.0,833,1014.239746
-21.0,899,1039.859209
-21.0,819,1060.336019
-21.0,881,1096.24699
