TimestepsSoFar,loss_pol_entpen,loss_kl,EpLenMean,ev_tdlam_before,EpThisIter,loss_vf_loss,loss_ent,EpRewMean,EpisodesSoFar,loss_pol_surr,TimeElapsed
,-0.0178470420651,0.00721487298142,nan,-0.000810861587524,,0.0955354161561,1.78470420837,nan,,-0.0235279779881,6.135907888412476
,-0.0177687318064,0.00293592992239,nan,-0.0128058195114,,0.117465864867,1.77687323093,nan,,-0.00319856964052,12.189465045928955
,-0.0177496760152,0.000371897236619,nan,-0.000739693641663,,0.10333587788,1.77496761084,nan,,-0.00129371229559,18.022467851638794
,-0.0175979267806,0.00677830073982,nan,0.00016063451767,,0.0949022714049,1.75979268551,nan,,-0.0115493228659,23.671535968780518
1037,-0.0173592185602,0.00775875989348,1037.0,0.00222891569138,1,0.0886390544474,1.73592191935,-20.0,1,-0.0195778813213,29.39056897163391
1037,-0.0175708397292,0.0141980103217,1037.0,0.00104510784149,,0.0924491807818,1.75708401203,-20.0,1,-0.0174411572516,35.013975858688354
1037,-0.0173550471663,0.00632593955379,1037.0,-0.00465595722198,,0.0866064596921,1.73550480604,-20.0,1,-0.00969765987247,40.64360499382019
1824,-0.0174062196165,0.00451483414508,912.0,-0.00239205360413,1,0.111319642514,1.74062201381,-20.5,2,-0.0080854576081,46.55939698219299
1824,-0.017441958189,0.0110471548978,912.0,0.011635363102,,0.0979063212872,1.74419587851,-20.5,2,-0.0151246106252,52.42596197128296
1824,-0.0174117041752,0.00729755696375,912.0,0.00695866346359,,0.0864050593227,1.74117046595,-20.5,2,-0.00457134051248,58.47245192527771
2681,-0.0170532586053,0.0139643484727,893.666666667,-0.000335812568665,1,0.113676732406,1.70532590151,-20.3333333333,3,-0.0111741181463,63.82221603393555
2681,-0.0167993260548,0.0181914414279,893.666666667,0.00107115507126,,0.0979294534773,1.6799326241,-20.3333333333,3,-0.0144910831004,69.19145202636719
2681,-0.01613151934,0.0204070671462,893.666666667,-0.00636684894562,,0.0906145703048,1.61315196753,-20.3333333333,3,-0.0217872234061,74.50521397590637
2681,-0.0164881753735,0.00939388200641,893.666666667,-0.000473260879517,,0.0881902985275,1.64881756902,-20.3333333333,3,-0.0117453634739,79.85484790802002
3709,-0.0166419544257,0.00242985179648,927.25,-0.00691223144531,1,0.115247519687,1.66419547796,-20.25,4,-0.00557753723115,85.20087790489197
3709,-0.0170103358105,0.0114796268754,927.25,-0.000136852264404,,0.0830367915332,1.70103362203,-20.25,4,-0.0109543409199,90.5690689086914
3709,-0.017119911965,0.0136881642975,927.25,-0.0012640953064,,0.101928919554,1.71199119091,-20.25,4,-0.0147131104022,95.90711092948914
4524,-0.0169414142147,0.00838512531482,904.8,0.002516746521,1,0.126795928925,1.69414150715,-20.4,5,-0.00399781297892,101.23827385902405
4524,-0.0166873228736,0.00811190507375,904.8,0.00448989868164,,0.0888699386269,1.6687323153,-20.4,5,-0.0101053472608,106.59676003456116
4524,-0.0168949454091,0.0211999784224,904.8,0.00545471906662,,0.0894382707775,1.68949455023,-20.4,5,-0.0197776909918,112.0988039970398
